Country,Amount,Boxes_Shipped,Revenue_Per_Box
New Zealand,5031.06,161,31.25
Canada,7460.34,356,20.96
USA,6613.2,186,35.55
New Zealand,708.87,36,19.69
New Zealand,10445.39,306,34.14
Australia,5797.63,254,22.83
India,10473.97,441,23.75
Canada,1372.66,33,41.6
New Zealand,11414.54,333,34.28
India,631.36,41,15.4
Australia,6093.04,357,17.07
Australia,3335.93,270,12.36
USA,15130.24,384,39.4
Australia,3321.69,145,22.91
New Zealand,2336.36,119,19.63
USA,19443.77,420,46.29
Canada,4534.5,161,28.16
UK,1027.1,69,14.89
India,2883.0,66,43.68
New Zealand,2593.64,66,39.3
UK,5802.73,433,13.4
Australia,11992.11,257,46.66
USA,352.92,30,11.76
New Zealand,7024.11,190,36.97
New Zealand,2884.52,118,24.45
USA,5022.76,154,32.62
New Zealand,5250.58,299,17.56
USA,2584.15,108,23.93
USA,8581.27,190,45.16
New Zealand,559.73,12,46.64
India,12905.06,498,25.91
USA,13509.42,296,45.64
India,3116.98,148,21.06
USA,1123.46,56,20.06
USA,18188.8,495,36.75
USA,8484.94,317,26.77
New Zealand,6693.75,476,14.06
New Zealand,9682.74,394,24.58
Australia,3241.7,232,13.97
India,10885.26,233,46.72
USA,4934.32,194,25.43
New Zealand,21726.67,436,49.83
New Zealand,5873.54,355,16.55
Canada,9561.31,268,35.68
Australia,3463.01,74,46.8
USA,136.05,11,12.37
Australia,3525.11,215,16.4
Australia,4819.15,332,14.52
Canada,5661.96,136,41.63
Australia,980.84,39,25.15
Australia,1430.77,38,37.65
India,1178.22,40,29.46
New Zealand,9645.48,286,33.73
New Zealand,3703.09,141,26.26
New Zealand,10465.99,393,26.63
India,11297.48,314,35.98
USA,9203.38,400,23.01
India,10092.43,239,42.23
New Zealand,2394.9,84,28.51
Australia,4157.41,264,15.75
Australia,3986.46,140,28.47
New Zealand,16045.86,477,33.64
New Zealand,5616.37,246,22.83
India,1741.42,42,41.46
Australia,4344.35,109,39.86
USA,8483.48,342,24.81
New Zealand,723.29,27,26.79
UK,4476.0,343,13.05
New Zealand,13449.54,299,44.98
New Zealand,13220.1,305,43.34
Australia,16987.7,411,41.33
Australia,9085.51,237,38.34
USA,11544.08,423,27.29
USA,12587.78,297,42.38
Canada,12202.64,321,38.01
UK,6319.71,366,17.27
New Zealand,16902.63,472,35.81
India,5408.77,412,13.13
New Zealand,11725.2,314,37.34
Canada,9669.71,376,25.72
New Zealand,2875.15,201,14.3
India,14214.55,447,31.8
India,1195.52,29,41.22
Australia,16375.54,491,33.35
New Zealand,8190.32,240,34.13
New Zealand,19125.15,488,39.19
Australia,585.65,20,29.28
UK,20317.26,485,41.89
New Zealand,9887.34,320,30.9
Canada,8194.42,276,29.69
Australia,7471.71,491,15.22
UK,7060.26,142,49.72
UK,13053.64,282,46.29
USA,8399.02,181,46.4
UK,7990.6,199,40.15
Australia,11098.01,225,49.32
Australia,19951.07,426,46.83
Australia,119.82,10,11.98
USA,12551.57,377,33.29
USA,7718.1,265,29.12
New Zealand,6264.79,163,38.43
Australia,1617.05,69,23.44
India,2630.52,64,41.1
USA,5024.53,251,20.02
Canada,19586.58,451,43.43
Canada,1905.06,40,47.63
India,5032.22,474,10.62
UK,7678.26,236,32.53
UK,20181.0,409,49.34
Canada,8709.22,178,48.93
UK,18763.82,444,42.26
Australia,11343.37,269,42.17
UK,4905.1,248,19.78
USA,10071.75,204,49.37
Canada,5025.69,133,37.79
New Zealand,1274.86,81,15.74
USA,2848.07,193,14.76
Australia,5431.35,152,35.73
UK,23090.87,482,47.91
Australia,13289.99,273,48.68
Canada,14114.16,422,33.45
Australia,3064.72,251,12.21
UK,13987.08,372,37.6
UK,17890.38,457,39.15
UK,11345.7,487,23.3
USA,3795.64,206,18.43
USA,1004.71,21,47.84
Australia,5575.62,371,15.03
New Zealand,12563.44,420,29.91
USA,4983.24,143,34.85
New Zealand,782.09,19,41.16
UK,17614.9,386,45.63
